Eruption	Comment	SiO2	TiO2	Al2O3	FeOt	MnO	MgO	CaO	Na2O	Cr2O3	NiO	Total			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	47.63		6.74	11.39	0.21	12.9	20.87				99.74			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	48.59	1.62	5.06	8.53	0.19	12.56	22.39	0.97			99.91			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	46.54	2.32	6.17	8.95	0.17	12.54	21.97	0.8			99.46			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	49.67	1.04	4.61	4.78	0.01	15	23.49	0.35	0.24		99.19			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	50.74	0.87	5.29	5.43	0.12	14.84	23.15	0.37	0.16		100.97			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	49.77	1	4.83	5.69	0.16	14.93	23.28	0.35	0.21		100.22			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	49.6	1.35	4.42	7.51	0.27	13.92	22.44	0.55	0.06		100.12			
ETNA / AD 1669	MONTI ROSSI NEAR NICOLOSI	48.53	1.39	5.22	8.16	0.25	13.51	22.01	0.48	0.07		99.62			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	48.63	1.47	4.68	8.33	0.19	13.89	22.2	0.34	0.15		99.88			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	43.37	3.28	10.32	9.32	0.21	10.9	23.32	0.33			101.05			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	48.6	1.39	5.66	7.81	0.19	13.82	22.65	0.34			100.46			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	42.67	3.01	11.43	9.5	0.18	11.07	22.56	0.45			100.87			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	44.85	2.58	9.92	8.83	0.17	11.41	22.39	0.34			100.49			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	48.41	1.42	6.29	8.46		13.51	22.12	0.22			100.43			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	44.79	2.62	9.83	8.91		11.51	21.97	0.51			100.14			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	49.39	1.32	5.22	7.29		13.94	22.31	0.37			99.84			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	49.09	1.16	5.21	7.85	0.19	14.31	21.92	0.26	0.24		100.23			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	42.2	3.4	11.48	9.64	0.21	10.85	22.41	0.32	0.15		100.66			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	48.6	1.45	5.79	8.38	0.21	13.88	21.78	0.18			100.27			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	43.82	2.79	10.33	9.06	0.2	11.14	22.55	0.3			100.19			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	48.99	1.46	5.24	8.32	0.2	13.97	21.68	0.32			100.18			
ETNA / AD 1974	1974 WESTERN FLANK ERUPTION	44.39	2.61	9.93	8.95		11.11	22.38	0.52			99.89			
